"","lon","lat","id"
"1",-58.75,-51.75,"midlat"
"2",-59.25,-51.75,"midlat"
"3",-58.25,-51.75,"midlat"
"4",-59.75,-51.75,"midlat"
"5",-52.75,3.75,"lowlat"
"6",-52.75,4.75,"lowlat"
"7",-52.25,3.75,"lowlat"
"8",-53.25,4.25,"lowlat"
"9",-53.25,4.75,"lowlat"
"10",-53.75,4.25,"lowlat"
"11",-54.25,2.25,"lowlat"
"12",-54.25,4.25,"lowlat"
"13",-53.75,4.75,"lowlat"
"14",-51.75,4.25,"lowlat"
"15",-52.25,4.25,"lowlat"
"16",-53.25,5.25,"lowlat"
"17",-53.75,5.25,"lowlat"
"18",-52.75,2.75,"lowlat"
"19",-54.25,4.75,"lowlat"
"20",-52.75,4.25,"lowlat"
"21",-53.25,3.75,"lowlat"
"22",-53.75,3.25,"lowlat"
"23",-53.25,2.75,"lowlat"
"24",-52.75,3.25,"lowlat"
"25",-53.75,2.75,"lowlat"
"26",-52.25,4.75,"lowlat"
"27",-53.25,3.25,"lowlat"
"28",-53.75,3.75,"lowlat"
"29",-52.75,5.25,"lowlat"
"30",-59.75,4.75,"lowlat"
"31",-60.75,5.25,"lowlat"
"32",-58.75,4.75,"lowlat"
"33",-60.75,5.75,"lowlat"
"34",-58.75,5.25,"lowlat"
"35",-58.75,3.25,"lowlat"
"36",-59.25,5.75,"lowlat"
"37",-59.75,3.25,"lowlat"
"38",-59.75,8.25,"lowlat"
"39",-59.25,3.75,"lowlat"
"40",-59.75,5.75,"lowlat"
"41",-59.75,7.75,"lowlat"
"42",-59.25,2.75,"lowlat"
"43",-59.25,4.75,"lowlat"
"44",-58.75,1.25,"lowlat"
"45",-57.75,3.25,"lowlat"
"46",-59.25,5.25,"lowlat"
"47",-57.75,5.75,"lowlat"
"48",-59.75,6.25,"lowlat"
"49",-59.25,3.25,"lowlat"
"50",-60.25,5.75,"lowlat"
"51",-57.75,2.75,"lowlat"
"52",-58.25,5.25,"lowlat"
"53",-60.75,6.25,"lowlat"
"54",-58.75,4.25,"lowlat"
"55",-58.25,3.25,"lowlat"
"56",-57.75,2.25,"lowlat"
"57",-58.25,6.25,"lowlat"
"58",-59.25,4.25,"lowlat"
"59",-58.75,7.25,"lowlat"
"60",-60.75,6.75,"lowlat"
"61",-58.25,2.75,"lowlat"
