"","lon","lat","id"
"1",-58.75,-51.75,"World"
"2",-59.25,-51.75,"World"
"3",-58.25,-51.75,"World"
"4",-59.75,-51.75,"World"
"5",-52.75,3.75,"World"
"6",-52.75,4.75,"World"
"7",-52.25,3.75,"World"
"8",-53.25,4.25,"World"
"9",-53.25,4.75,"World"
"10",-53.75,4.25,"World"
"11",-54.25,2.25,"World"
"12",-54.25,4.25,"World"
"13",-53.75,4.75,"World"
"14",-51.75,4.25,"World"
"15",-52.25,4.25,"World"
"16",-53.25,5.25,"World"
"17",-53.75,5.25,"World"
"18",-52.75,2.75,"World"
"19",-54.25,4.75,"World"
"20",-52.75,4.25,"World"
"21",-53.25,3.75,"World"
"22",-53.75,3.25,"World"
"23",-53.25,2.75,"World"
"24",-52.75,3.25,"World"
"25",-53.75,2.75,"World"
"26",-52.25,4.75,"World"
"27",-53.25,3.25,"World"
"28",-53.75,3.75,"World"
"29",-52.75,5.25,"World"
"30",-59.75,4.75,"World"
"31",-60.75,5.25,"World"
"32",-58.75,4.75,"World"
"33",-60.75,5.75,"World"
"34",-58.75,5.25,"World"
"35",-58.75,3.25,"World"
"36",-59.25,5.75,"World"
"37",-59.75,3.25,"World"
"38",-59.75,8.25,"World"
"39",-59.25,3.75,"World"
"40",-59.75,5.75,"World"
"41",-59.75,7.75,"World"
"42",-59.25,2.75,"World"
"43",-59.25,4.75,"World"
"44",-58.75,1.25,"World"
"45",-57.75,3.25,"World"
"46",-59.25,5.25,"World"
"47",-57.75,5.75,"World"
"48",-59.75,6.25,"World"
"49",-59.25,3.25,"World"
"50",-60.25,5.75,"World"
"51",-57.75,2.75,"World"
"52",-58.25,5.25,"World"
"53",-60.75,6.25,"World"
"54",-58.75,4.25,"World"
"55",-58.25,3.25,"World"
"56",-57.75,2.25,"World"
"57",-58.25,6.25,"World"
"58",-59.25,4.25,"World"
"59",-58.75,7.25,"World"
"60",-60.75,6.75,"World"
"61",-58.25,2.75,"World"
"62",-57.75,6.25,"World"
"63",-58.75,2.75,"World"
"64",-58.75,5.75,"World"
"65",-60.25,7.25,"World"
"66",-57.75,5.25,"World"
"67",-58.25,4.75,"World"
"68",-58.25,3.75,"World"
"69",-60.25,6.25,"World"
"70",-60.25,7.75,"World"
"71",-58.75,3.75,"World"
"72",-59.75,6.75,"World"
"73",-58.25,4.25,"World"
"74",-60.25,6.75,"World"
"75",-58.25,5.75,"World"
"76",-59.75,2.75,"World"
"77",-59.25,6.25,"World"
"78",-59.25,6.75,"World"
"79",-59.75,5.25,"World"
"80",-57.25,2.25,"World"
"81",-60.25,5.25,"World"
"82",-59.25,1.75,"World"
"83",-59.25,7.25,"World"
"84",-58.25,6.75,"World"
"85",-58.75,1.75,"World"
"86",-57.25,5.75,"World"
"87",-58.75,6.25,"World"
"88",-59.25,7.75,"World"
"89",-57.25,2.75,"World"
"90",-57.75,1.75,"World"
"91",-58.75,2.25,"World"
"92",-58.75,6.75,"World"
"93",-58.25,2.25,"World"
"94",-58.25,1.75,"World"
"95",-59.75,7.25,"World"
"96",-59.25,2.25,"World"
"97",-36.75,-54.25,"World"
"98",-37.25,-54.25,"World"
"99",-54.25,2.75,"World"
"100",-55.25,2.75,"World"
"101",-55.75,4.75,"World"
